[W C:\cb\pytorch_1000000000000\work\torch\csrc\profiler\kineto_shim.cpp:330] Profiler is not initialized: skipping step() invocation
STAGE:2022-11-08 12:45:54 21332:21232 C:\cb\pytorch_1000000000000\work\third_party\kineto\libkineto\src\ActivityProfilerController.cpp:294] Completed Stage: Warm Up
STAGE:2022-11-08 12:45:54 21332:21232 C:\cb\pytorch_1000000000000\work\third_party\kineto\libkineto\src\ActivityProfilerController.cpp:300] Completed Stage: Collection
STAGE:2022-11-08 12:45:54 21332:21232 C:\cb\pytorch_1000000000000\work\third_party\kineto\libkineto\src\output_json.cpp:417] Completed Stage: Post Processing
Initializing dataset - reading D:\GitHub\DistributedINR\Code\Datasets\..\..\Data\Isotropic.nc
Feature grid shape: [1, 16, 128, 128, 16]
Training on cuda:0 D:\GitHub\DistributedINR\Code\..\SavedModels\Isotropic_slice6_128x128x16featgrid_4layers32nodes
Iteration 0/10000, Fitting loss:  0.19208 
Iteration 10/10000, Fitting loss:  0.08424 
Iteration 20/10000, Fitting loss:  0.07472 
Iteration 30/10000, Fitting loss:  0.06564 
Iteration 40/10000, Fitting loss:  0.05808 
Iteration 50/10000, Fitting loss:  0.05042 
Iteration 60/10000, Fitting loss:  0.04268 
Iteration 70/10000, Fitting loss:  0.03849 
Iteration 80/10000, Fitting loss:  0.03347 
Iteration 90/10000, Fitting loss:  0.03063 
Iteration 100/10000, Fitting loss:  0.02869 
Iteration 110/10000, Fitting loss:  0.02727 
Iteration 120/10000, Fitting loss:  0.02608 
Iteration 130/10000, Fitting loss:  0.02376 
Iteration 140/10000, Fitting loss:  0.02356 
Iteration 150/10000, Fitting loss:  0.02228 
Iteration 160/10000, Fitting loss:  0.02217 
Iteration 170/10000, Fitting loss:  0.02161 
Iteration 180/10000, Fitting loss:  0.02136 
Iteration 190/10000, Fitting loss:  0.02060 
Iteration 200/10000, Fitting loss:  0.02067 
Iteration 210/10000, Fitting loss:  0.02036 
Iteration 220/10000, Fitting loss:  0.01985 
Iteration 230/10000, Fitting loss:  0.01940 
Iteration 240/10000, Fitting loss:  0.01944 
Iteration 250/10000, Fitting loss:  0.02005 
Iteration 260/10000, Fitting loss:  0.01934 
Iteration 270/10000, Fitting loss:  0.01928 
Iteration 280/10000, Fitting loss:  0.01879 
Iteration 290/10000, Fitting loss:  0.01950 
Iteration 300/10000, Fitting loss:  0.01914 
Iteration 310/10000, Fitting loss:  0.01928 
Iteration 320/10000, Fitting loss:  0.01872 
Iteration 330/10000, Fitting loss:  0.01847 
Iteration 340/10000, Fitting loss:  0.01816 
Iteration 350/10000, Fitting loss:  0.01832 
Iteration 360/10000, Fitting loss:  0.01795 
Iteration 370/10000, Fitting loss:  0.01793 
Iteration 380/10000, Fitting loss:  0.01809 
Iteration 390/10000, Fitting loss:  0.01786 
Iteration 400/10000, Fitting loss:  0.01736 
Iteration 410/10000, Fitting loss:  0.01756 
Iteration 420/10000, Fitting loss:  0.01725 
Iteration 430/10000, Fitting loss:  0.01764 
Iteration 440/10000, Fitting loss:  0.01818 
Iteration 450/10000, Fitting loss:  0.01786 
Iteration 460/10000, Fitting loss:  0.01707 
Iteration 470/10000, Fitting loss:  0.01707 
Iteration 480/10000, Fitting loss:  0.01864 
Iteration 490/10000, Fitting loss:  0.01788 
Iteration 500/10000, Fitting loss:  0.01711 
Iteration 510/10000, Fitting loss:  0.01689 
Iteration 520/10000, Fitting loss:  0.01682 
Iteration 530/10000, Fitting loss:  0.01709 
Iteration 540/10000, Fitting loss:  0.01660 
Iteration 550/10000, Fitting loss:  0.01672 
Iteration 560/10000, Fitting loss:  0.01680 
Iteration 570/10000, Fitting loss:  0.01661 
Iteration 580/10000, Fitting loss:  0.01664 
Iteration 590/10000, Fitting loss:  0.01679 
Iteration 600/10000, Fitting loss:  0.01651 
Iteration 610/10000, Fitting loss:  0.01626 
Iteration 620/10000, Fitting loss:  0.01664 
Iteration 630/10000, Fitting loss:  0.01639 
Iteration 640/10000, Fitting loss:  0.01643 
Iteration 650/10000, Fitting loss:  0.01602 
Iteration 660/10000, Fitting loss:  0.01619 
Iteration 670/10000, Fitting loss:  0.01626 
Iteration 680/10000, Fitting loss:  0.01610 
Iteration 690/10000, Fitting loss:  0.01589 
Iteration 700/10000, Fitting loss:  0.01595 
Iteration 710/10000, Fitting loss:  0.01642 
Iteration 720/10000, Fitting loss:  0.01615 
Iteration 730/10000, Fitting loss:  0.01596 
Iteration 740/10000, Fitting loss:  0.01582 
Iteration 750/10000, Fitting loss:  0.01617 
Iteration 760/10000, Fitting loss:  0.01559 
Iteration 770/10000, Fitting loss:  0.01578 
Iteration 780/10000, Fitting loss:  0.01555 
Iteration 790/10000, Fitting loss:  0.01578 
Iteration 800/10000, Fitting loss:  0.01557 
Iteration 810/10000, Fitting loss:  0.01560 
Iteration 820/10000, Fitting loss:  0.01580 
Iteration 830/10000, Fitting loss:  0.01598 
Iteration 840/10000, Fitting loss:  0.01523 
Iteration 850/10000, Fitting loss:  0.01590 
Iteration 860/10000, Fitting loss:  0.01549 
Iteration 870/10000, Fitting loss:  0.01533 
Iteration 880/10000, Fitting loss:  0.01521 
Iteration 890/10000, Fitting loss:  0.01570 
Iteration 900/10000, Fitting loss:  0.01627 
Iteration 910/10000, Fitting loss:  0.01567 
Iteration 920/10000, Fitting loss:  0.01749 
Iteration 930/10000, Fitting loss:  0.01631 
Iteration 940/10000, Fitting loss:  0.01554 
Iteration 950/10000, Fitting loss:  0.01484 
Iteration 960/10000, Fitting loss:  0.01493 
Iteration 970/10000, Fitting loss:  0.01478 
Iteration 980/10000, Fitting loss:  0.01490 
Iteration 990/10000, Fitting loss:  0.01481 
Iteration 1000/10000, Fitting loss:  0.01475 
Iteration 1010/10000, Fitting loss:  0.01473 
Iteration 1020/10000, Fitting loss:  0.01444 
Iteration 1030/10000, Fitting loss:  0.01492 
Iteration 1040/10000, Fitting loss:  0.01477 
Iteration 1050/10000, Fitting loss:  0.01465 
Iteration 1060/10000, Fitting loss:  0.01475 
Iteration 1070/10000, Fitting loss:  0.01483 
Iteration 1080/10000, Fitting loss:  0.01478 
Iteration 1090/10000, Fitting loss:  0.01443 
Iteration 1100/10000, Fitting loss:  0.01451 
Iteration 1110/10000, Fitting loss:  0.01445 
Iteration 1120/10000, Fitting loss:  0.01521 
Iteration 1130/10000, Fitting loss:  0.01435 
Iteration 1140/10000, Fitting loss:  0.01444 
Iteration 1150/10000, Fitting loss:  0.01425 
Iteration 1160/10000, Fitting loss:  0.01414 
Iteration 1170/10000, Fitting loss:  0.01439 
Iteration 1180/10000, Fitting loss:  0.01442 
Iteration 1190/10000, Fitting loss:  0.01393 
Iteration 1200/10000, Fitting loss:  0.01426 
Iteration 1210/10000, Fitting loss:  0.01445 
Iteration 1220/10000, Fitting loss:  0.01411 
Iteration 1230/10000, Fitting loss:  0.01382 
Iteration 1240/10000, Fitting loss:  0.01378 
Iteration 1250/10000, Fitting loss:  0.01425 
Iteration 1260/10000, Fitting loss:  0.01455 
Iteration 1270/10000, Fitting loss:  0.01392 
Iteration 1280/10000, Fitting loss:  0.01409 
