[W C:\cb\pytorch_1000000000000\work\torch\csrc\profiler\kineto_shim.cpp:330] Profiler is not initialized: skipping step() invocation
STAGE:2022-11-08 12:43:21 16756:19928 C:\cb\pytorch_1000000000000\work\third_party\kineto\libkineto\src\ActivityProfilerController.cpp:294] Completed Stage: Warm Up
STAGE:2022-11-08 12:43:21 16756:19928 C:\cb\pytorch_1000000000000\work\third_party\kineto\libkineto\src\ActivityProfilerController.cpp:300] Completed Stage: Collection
STAGE:2022-11-08 12:43:21 16756:19928 C:\cb\pytorch_1000000000000\work\third_party\kineto\libkineto\src\output_json.cpp:417] Completed Stage: Post Processing
Initializing dataset - reading D:\GitHub\DistributedINR\Code\Datasets\..\..\Data\Isotropic.nc
Feature grid shape: [1, 16, 128, 128, 16]
Training on cuda:0 D:\GitHub\DistributedINR\Code\..\SavedModels\Isotropic_slice3_128x128x16featgrid_4layers32nodes
Iteration 0/10000, Fitting loss:  0.17409 
Iteration 10/10000, Fitting loss:  0.08243 
Iteration 20/10000, Fitting loss:  0.07272 
Iteration 30/10000, Fitting loss:  0.06424 
Iteration 40/10000, Fitting loss:  0.05589 
Iteration 50/10000, Fitting loss:  0.04881 
Iteration 60/10000, Fitting loss:  0.04223 
Iteration 70/10000, Fitting loss:  0.03685 
Iteration 80/10000, Fitting loss:  0.03296 
Iteration 90/10000, Fitting loss:  0.02960 
Iteration 100/10000, Fitting loss:  0.02795 
Iteration 110/10000, Fitting loss:  0.02637 
Iteration 120/10000, Fitting loss:  0.02526 
Iteration 130/10000, Fitting loss:  0.02360 
Iteration 140/10000, Fitting loss:  0.02338 
Iteration 150/10000, Fitting loss:  0.02261 
Iteration 160/10000, Fitting loss:  0.02163 
Iteration 170/10000, Fitting loss:  0.02146 
Iteration 180/10000, Fitting loss:  0.02095 
Iteration 190/10000, Fitting loss:  0.02104 
Iteration 200/10000, Fitting loss:  0.02103 
Iteration 210/10000, Fitting loss:  0.02037 
Iteration 220/10000, Fitting loss:  0.01971 
Iteration 230/10000, Fitting loss:  0.02012 
Iteration 240/10000, Fitting loss:  0.01905 
Iteration 250/10000, Fitting loss:  0.01960 
Iteration 260/10000, Fitting loss:  0.01986 
Iteration 270/10000, Fitting loss:  0.01900 
Iteration 280/10000, Fitting loss:  0.01859 
Iteration 290/10000, Fitting loss:  0.01853 
Iteration 300/10000, Fitting loss:  0.01867 
Iteration 310/10000, Fitting loss:  0.01841 
Iteration 320/10000, Fitting loss:  0.01817 
Iteration 330/10000, Fitting loss:  0.01783 
Iteration 340/10000, Fitting loss:  0.01838 
Iteration 350/10000, Fitting loss:  0.01868 
Iteration 360/10000, Fitting loss:  0.01742 
Iteration 370/10000, Fitting loss:  0.01819 
Iteration 380/10000, Fitting loss:  0.01782 
Iteration 390/10000, Fitting loss:  0.01797 
Iteration 400/10000, Fitting loss:  0.01833 
Iteration 410/10000, Fitting loss:  0.01763 
Iteration 420/10000, Fitting loss:  0.01778 
Iteration 430/10000, Fitting loss:  0.01758 
Iteration 440/10000, Fitting loss:  0.01736 
Iteration 450/10000, Fitting loss:  0.01774 
Iteration 460/10000, Fitting loss:  0.01733 
Iteration 470/10000, Fitting loss:  0.01747 
Iteration 480/10000, Fitting loss:  0.01769 
Iteration 490/10000, Fitting loss:  0.01714 
Iteration 500/10000, Fitting loss:  0.01697 
Iteration 510/10000, Fitting loss:  0.01685 
Iteration 520/10000, Fitting loss:  0.01754 
Iteration 530/10000, Fitting loss:  0.01683 
Iteration 540/10000, Fitting loss:  0.01664 
Iteration 550/10000, Fitting loss:  0.01716 
Iteration 560/10000, Fitting loss:  0.01681 
Iteration 570/10000, Fitting loss:  0.01638 
Iteration 580/10000, Fitting loss:  0.01672 
Iteration 590/10000, Fitting loss:  0.01658 
Iteration 600/10000, Fitting loss:  0.01633 
Iteration 610/10000, Fitting loss:  0.01669 
Iteration 620/10000, Fitting loss:  0.01656 
Iteration 630/10000, Fitting loss:  0.01640 
Iteration 640/10000, Fitting loss:  0.01622 
Iteration 650/10000, Fitting loss:  0.01644 
Iteration 660/10000, Fitting loss:  0.01634 
Iteration 670/10000, Fitting loss:  0.01593 
Iteration 680/10000, Fitting loss:  0.01606 
Iteration 690/10000, Fitting loss:  0.01645 
Iteration 700/10000, Fitting loss:  0.01573 
Iteration 710/10000, Fitting loss:  0.01576 
Iteration 720/10000, Fitting loss:  0.01565 
Iteration 730/10000, Fitting loss:  0.01599 
Iteration 740/10000, Fitting loss:  0.01592 
Iteration 750/10000, Fitting loss:  0.01577 
Iteration 760/10000, Fitting loss:  0.01603 
Iteration 770/10000, Fitting loss:  0.01554 
Iteration 780/10000, Fitting loss:  0.01563 
Iteration 790/10000, Fitting loss:  0.01564 
Iteration 800/10000, Fitting loss:  0.01525 
Iteration 810/10000, Fitting loss:  0.01573 
Iteration 820/10000, Fitting loss:  0.01532 
Iteration 830/10000, Fitting loss:  0.01545 
Iteration 840/10000, Fitting loss:  0.01597 
Iteration 850/10000, Fitting loss:  0.01600 
Iteration 860/10000, Fitting loss:  0.01519 
Iteration 870/10000, Fitting loss:  0.01592 
Iteration 880/10000, Fitting loss:  0.01554 
Iteration 890/10000, Fitting loss:  0.01543 
Iteration 900/10000, Fitting loss:  0.01536 
Iteration 910/10000, Fitting loss:  0.01543 
Iteration 920/10000, Fitting loss:  0.01512 
Iteration 930/10000, Fitting loss:  0.01514 
Iteration 940/10000, Fitting loss:  0.01503 
Iteration 950/10000, Fitting loss:  0.01542 
Iteration 960/10000, Fitting loss:  0.01511 
Iteration 970/10000, Fitting loss:  0.01567 
Iteration 980/10000, Fitting loss:  0.01558 
Iteration 990/10000, Fitting loss:  0.01498 
Iteration 1000/10000, Fitting loss:  0.01480 
Iteration 1010/10000, Fitting loss:  0.01491 
Iteration 1020/10000, Fitting loss:  0.01480 
Iteration 1030/10000, Fitting loss:  0.01486 
Iteration 1040/10000, Fitting loss:  0.01506 
Iteration 1050/10000, Fitting loss:  0.01511 
Iteration 1060/10000, Fitting loss:  0.01490 
Iteration 1070/10000, Fitting loss:  0.01474 
Iteration 1080/10000, Fitting loss:  0.01474 
Iteration 1090/10000, Fitting loss:  0.01502 
