[W C:\cb\pytorch_1000000000000\work\torch\csrc\profiler\kineto_shim.cpp:330] Profiler is not initialized: skipping step() invocation
STAGE:2022-11-08 12:40:47 15196:20560 C:\cb\pytorch_1000000000000\work\third_party\kineto\libkineto\src\ActivityProfilerController.cpp:294] Completed Stage: Warm Up
STAGE:2022-11-08 12:40:47 15196:20560 C:\cb\pytorch_1000000000000\work\third_party\kineto\libkineto\src\ActivityProfilerController.cpp:300] Completed Stage: Collection
STAGE:2022-11-08 12:40:47 15196:20560 C:\cb\pytorch_1000000000000\work\third_party\kineto\libkineto\src\output_json.cpp:417] Completed Stage: Post Processing
Initializing dataset - reading D:\GitHub\DistributedINR\Code\Datasets\..\..\Data\Isotropic.nc
Feature grid shape: [1, 16, 128, 128, 16]
Training on cuda:0 D:\GitHub\DistributedINR\Code\..\SavedModels\Isotropic_slice0_128x128x16featgrid_4layers32nodes
Iteration 0/10000, Fitting loss:  0.16107 
Iteration 10/10000, Fitting loss:  0.06998 
Iteration 20/10000, Fitting loss:  0.06542 
Iteration 30/10000, Fitting loss:  0.05885 
Iteration 40/10000, Fitting loss:  0.05233 
Iteration 50/10000, Fitting loss:  0.04393 
Iteration 60/10000, Fitting loss:  0.03758 
Iteration 70/10000, Fitting loss:  0.03263 
Iteration 80/10000, Fitting loss:  0.02886 
Iteration 90/10000, Fitting loss:  0.02639 
Iteration 100/10000, Fitting loss:  0.02526 
Iteration 110/10000, Fitting loss:  0.02338 
Iteration 120/10000, Fitting loss:  0.02196 
Iteration 130/10000, Fitting loss:  0.02178 
Iteration 140/10000, Fitting loss:  0.02126 
Iteration 150/10000, Fitting loss:  0.02022 
Iteration 160/10000, Fitting loss:  0.01952 
Iteration 170/10000, Fitting loss:  0.01896 
Iteration 180/10000, Fitting loss:  0.01909 
Iteration 190/10000, Fitting loss:  0.01903 
Iteration 200/10000, Fitting loss:  0.01862 
Iteration 210/10000, Fitting loss:  0.01777 
Iteration 220/10000, Fitting loss:  0.01796 
Iteration 230/10000, Fitting loss:  0.01793 
Iteration 240/10000, Fitting loss:  0.01729 
Iteration 250/10000, Fitting loss:  0.01724 
Iteration 260/10000, Fitting loss:  0.01696 
Iteration 270/10000, Fitting loss:  0.01728 
Iteration 280/10000, Fitting loss:  0.01699 
Iteration 290/10000, Fitting loss:  0.01652 
Iteration 300/10000, Fitting loss:  0.01709 
Iteration 310/10000, Fitting loss:  0.01721 
Iteration 320/10000, Fitting loss:  0.01647 
Iteration 330/10000, Fitting loss:  0.01700 
Iteration 340/10000, Fitting loss:  0.01649 
Iteration 350/10000, Fitting loss:  0.01683 
Iteration 360/10000, Fitting loss:  0.01658 
Iteration 370/10000, Fitting loss:  0.01598 
Iteration 380/10000, Fitting loss:  0.01579 
Iteration 390/10000, Fitting loss:  0.01584 
Iteration 400/10000, Fitting loss:  0.01588 
Iteration 410/10000, Fitting loss:  0.01576 
Iteration 420/10000, Fitting loss:  0.01560 
Iteration 430/10000, Fitting loss:  0.01593 
Iteration 440/10000, Fitting loss:  0.01613 
Iteration 450/10000, Fitting loss:  0.01597 
Iteration 460/10000, Fitting loss:  0.01558 
Iteration 470/10000, Fitting loss:  0.01595 
Iteration 480/10000, Fitting loss:  0.01616 
Iteration 490/10000, Fitting loss:  0.01567 
Iteration 500/10000, Fitting loss:  0.01532 
Iteration 510/10000, Fitting loss:  0.01519 
Iteration 520/10000, Fitting loss:  0.01523 
Iteration 530/10000, Fitting loss:  0.01560 
Iteration 540/10000, Fitting loss:  0.01514 
Iteration 550/10000, Fitting loss:  0.01516 
Iteration 560/10000, Fitting loss:  0.01505 
Iteration 570/10000, Fitting loss:  0.01541 
Iteration 580/10000, Fitting loss:  0.01502 
Iteration 590/10000, Fitting loss:  0.01535 
Iteration 600/10000, Fitting loss:  0.01483 
Iteration 610/10000, Fitting loss:  0.01494 
Iteration 620/10000, Fitting loss:  0.01485 
Iteration 630/10000, Fitting loss:  0.01474 
Iteration 640/10000, Fitting loss:  0.01499 
Iteration 650/10000, Fitting loss:  0.01469 
Iteration 660/10000, Fitting loss:  0.01461 
Iteration 670/10000, Fitting loss:  0.01518 
Iteration 680/10000, Fitting loss:  0.01480 
Iteration 690/10000, Fitting loss:  0.01451 
Iteration 700/10000, Fitting loss:  0.01453 
Iteration 710/10000, Fitting loss:  0.01456 
Iteration 720/10000, Fitting loss:  0.01470 
Iteration 730/10000, Fitting loss:  0.01455 
Iteration 740/10000, Fitting loss:  0.01460 
Iteration 750/10000, Fitting loss:  0.01452 
Iteration 760/10000, Fitting loss:  0.01441 
Iteration 770/10000, Fitting loss:  0.01430 
Iteration 780/10000, Fitting loss:  0.01438 
Iteration 790/10000, Fitting loss:  0.01500 
Iteration 800/10000, Fitting loss:  0.01434 
Iteration 810/10000, Fitting loss:  0.01491 
Iteration 820/10000, Fitting loss:  0.01444 
Iteration 830/10000, Fitting loss:  0.01419 
Iteration 840/10000, Fitting loss:  0.01431 
Iteration 850/10000, Fitting loss:  0.01401 
Iteration 860/10000, Fitting loss:  0.01400 
Iteration 870/10000, Fitting loss:  0.01420 
Iteration 880/10000, Fitting loss:  0.01468 
Iteration 890/10000, Fitting loss:  0.01429 
Iteration 900/10000, Fitting loss:  0.01411 
Iteration 910/10000, Fitting loss:  0.01391 
Iteration 920/10000, Fitting loss:  0.01408 
Iteration 930/10000, Fitting loss:  0.01357 
Iteration 940/10000, Fitting loss:  0.01366 
Iteration 950/10000, Fitting loss:  0.01383 
Iteration 960/10000, Fitting loss:  0.01401 
Iteration 970/10000, Fitting loss:  0.01407 
Iteration 980/10000, Fitting loss:  0.01370 
Iteration 990/10000, Fitting loss:  0.01358 
Iteration 1000/10000, Fitting loss:  0.01369 
Iteration 1010/10000, Fitting loss:  0.01356 
Iteration 1020/10000, Fitting loss:  0.01363 
Iteration 1030/10000, Fitting loss:  0.01352 
Iteration 1040/10000, Fitting loss:  0.01325 
Iteration 1050/10000, Fitting loss:  0.01343 
Iteration 1060/10000, Fitting loss:  0.01364 
Iteration 1070/10000, Fitting loss:  0.01420 
Iteration 1080/10000, Fitting loss:  0.01341 
Iteration 1090/10000, Fitting loss:  0.01338 
Iteration 1100/10000, Fitting loss:  0.01335 
Iteration 1110/10000, Fitting loss:  0.01323 
Iteration 1120/10000, Fitting loss:  0.01345 
Iteration 1130/10000, Fitting loss:  0.01318 
Iteration 1140/10000, Fitting loss:  0.01326 
Iteration 1150/10000, Fitting loss:  0.01275 
Iteration 1160/10000, Fitting loss:  0.01311 
Iteration 1170/10000, Fitting loss:  0.01308 
Iteration 1180/10000, Fitting loss:  0.01306 
Iteration 1190/10000, Fitting loss:  0.01334 
Iteration 1200/10000, Fitting loss:  0.01283 
Iteration 1210/10000, Fitting loss:  0.01302 
Iteration 1220/10000, Fitting loss:  0.01287 
Iteration 1230/10000, Fitting loss:  0.01269 
Iteration 1240/10000, Fitting loss:  0.01293 
Iteration 1250/10000, Fitting loss:  0.01287 
Iteration 1260/10000, Fitting loss:  0.01294 
Iteration 1270/10000, Fitting loss:  0.01292 
Iteration 1280/10000, Fitting loss:  0.01285 
Iteration 1290/10000, Fitting loss:  0.01264 
Iteration 1300/10000, Fitting loss:  0.01277 
Iteration 1310/10000, Fitting loss:  0.01291 
Iteration 1320/10000, Fitting loss:  0.01262 
Iteration 1330/10000, Fitting loss:  0.01288 
Iteration 1340/10000, Fitting loss:  0.01283 
Iteration 1350/10000, Fitting loss:  0.01249 
Iteration 1360/10000, Fitting loss:  0.01253 
Iteration 1370/10000, Fitting loss:  0.01246 
Iteration 1380/10000, Fitting loss:  0.01269 
Iteration 1390/10000, Fitting loss:  0.01239 
Iteration 1400/10000, Fitting loss:  0.01284 
Iteration 1410/10000, Fitting loss:  0.01237 
Iteration 1420/10000, Fitting loss:  0.01270 
Iteration 1430/10000, Fitting loss:  0.01241 
Iteration 1440/10000, Fitting loss:  0.01282 
Iteration 1450/10000, Fitting loss:  0.01250 
Iteration 1460/10000, Fitting loss:  0.01264 
Iteration 1470/10000, Fitting loss:  0.01235 
Iteration 1480/10000, Fitting loss:  0.01255 
Iteration 1490/10000, Fitting loss:  0.01234 
Iteration 1500/10000, Fitting loss:  0.01215 
Iteration 1510/10000, Fitting loss:  0.01252 
Iteration 1520/10000, Fitting loss:  0.01223 
Iteration 1530/10000, Fitting loss:  0.01227 
Iteration 1540/10000, Fitting loss:  0.01223 
Iteration 1550/10000, Fitting loss:  0.01246 
Iteration 1560/10000, Fitting loss:  0.01204 
Iteration 1570/10000, Fitting loss:  0.01208 
Iteration 1580/10000, Fitting loss:  0.01203 
Iteration 1590/10000, Fitting loss:  0.01211 
Iteration 1600/10000, Fitting loss:  0.01210 
Iteration 1610/10000, Fitting loss:  0.01219 
Iteration 1620/10000, Fitting loss:  0.01222 
Iteration 1630/10000, Fitting loss:  0.01200 
Iteration 1640/10000, Fitting loss:  0.01212 
Iteration 1650/10000, Fitting loss:  0.01212 
Iteration 1660/10000, Fitting loss:  0.01196 
Iteration 1670/10000, Fitting loss:  0.01210 
Iteration 1680/10000, Fitting loss:  0.01206 
Iteration 1690/10000, Fitting loss:  0.01179 
Iteration 1700/10000, Fitting loss:  0.01190 
Iteration 1710/10000, Fitting loss:  0.01207 
Iteration 1720/10000, Fitting loss:  0.01200 
Iteration 1730/10000, Fitting loss:  0.01210 
Iteration 1740/10000, Fitting loss:  0.01181 
Iteration 1750/10000, Fitting loss:  0.01176 
Iteration 1760/10000, Fitting loss:  0.01177 
Iteration 1770/10000, Fitting loss:  0.01160 
Iteration 1780/10000, Fitting loss:  0.01170 
Iteration 1790/10000, Fitting loss:  0.01173 
Iteration 1800/10000, Fitting loss:  0.01196 
Iteration 1810/10000, Fitting loss:  0.01214 
Iteration 1820/10000, Fitting loss:  0.01227 
Iteration 1830/10000, Fitting loss:  0.01161 
Iteration 1840/10000, Fitting loss:  0.01183 
Iteration 1850/10000, Fitting loss:  0.01167 
Iteration 1860/10000, Fitting loss:  0.01157 
Iteration 1870/10000, Fitting loss:  0.01143 
Iteration 1880/10000, Fitting loss:  0.01151 
Iteration 1890/10000, Fitting loss:  0.01164 
Iteration 1900/10000, Fitting loss:  0.01170 
Iteration 1910/10000, Fitting loss:  0.01128 
Iteration 1920/10000, Fitting loss:  0.01125 
Iteration 1930/10000, Fitting loss:  0.01148 
Iteration 1940/10000, Fitting loss:  0.01136 
Iteration 1950/10000, Fitting loss:  0.01148 
Iteration 1960/10000, Fitting loss:  0.01129 
Iteration 1970/10000, Fitting loss:  0.01137 
Iteration 1980/10000, Fitting loss:  0.01120 
Iteration 1990/10000, Fitting loss:  0.01122 
Iteration 2000/10000, Fitting loss:  0.01145 
Iteration 2010/10000, Fitting loss:  0.01141 
Iteration 2020/10000, Fitting loss:  0.01144 
Iteration 2030/10000, Fitting loss:  0.01142 
Iteration 2040/10000, Fitting loss:  0.01167 
Iteration 2050/10000, Fitting loss:  0.01118 
Iteration 2060/10000, Fitting loss:  0.01109 
Iteration 2070/10000, Fitting loss:  0.01121 
Iteration 2080/10000, Fitting loss:  0.01108 
Iteration 2090/10000, Fitting loss:  0.01124 
Iteration 2100/10000, Fitting loss:  0.01134 
Iteration 2110/10000, Fitting loss:  0.01138 
Iteration 2120/10000, Fitting loss:  0.01121 
Iteration 2130/10000, Fitting loss:  0.01132 
Iteration 2140/10000, Fitting loss:  0.01086 
Iteration 2150/10000, Fitting loss:  0.01109 
Iteration 2160/10000, Fitting loss:  0.01130 
Iteration 2170/10000, Fitting loss:  0.01102 
Iteration 2180/10000, Fitting loss:  0.01102 
Iteration 2190/10000, Fitting loss:  0.01084 
Iteration 2200/10000, Fitting loss:  0.01138 
Iteration 2210/10000, Fitting loss:  0.01134 
Iteration 2220/10000, Fitting loss:  0.01144 
Iteration 2230/10000, Fitting loss:  0.01098 
Iteration 2240/10000, Fitting loss:  0.01115 
Iteration 2250/10000, Fitting loss:  0.01094 
Iteration 2260/10000, Fitting loss:  0.01111 
Iteration 2270/10000, Fitting loss:  0.01096 
Iteration 2280/10000, Fitting loss:  0.01101 
Iteration 2290/10000, Fitting loss:  0.01079 
Iteration 2300/10000, Fitting loss:  0.01103 
Iteration 2310/10000, Fitting loss:  0.01114 
Iteration 2320/10000, Fitting loss:  0.01105 
Iteration 2330/10000, Fitting loss:  0.01096 
Iteration 2340/10000, Fitting loss:  0.01058 
Iteration 2350/10000, Fitting loss:  0.01066 
Iteration 2360/10000, Fitting loss:  0.01089 
Iteration 2370/10000, Fitting loss:  0.01076 
Iteration 2380/10000, Fitting loss:  0.01079 
Iteration 2390/10000, Fitting loss:  0.01115 
Iteration 2400/10000, Fitting loss:  0.01057 
Iteration 2410/10000, Fitting loss:  0.01072 
Iteration 2420/10000, Fitting loss:  0.01059 
Iteration 2430/10000, Fitting loss:  0.01068 
Iteration 2440/10000, Fitting loss:  0.01055 
Iteration 2450/10000, Fitting loss:  0.01056 
Iteration 2460/10000, Fitting loss:  0.01074 
Iteration 2470/10000, Fitting loss:  0.01075 
Iteration 2480/10000, Fitting loss:  0.01094 
Iteration 2490/10000, Fitting loss:  0.01056 
Iteration 2500/10000, Fitting loss:  0.01114 
Iteration 2510/10000, Fitting loss:  0.01051 
Iteration 2520/10000, Fitting loss:  0.01036 
Iteration 2530/10000, Fitting loss:  0.01026 
Iteration 2540/10000, Fitting loss:  0.01043 
Iteration 2550/10000, Fitting loss:  0.01068 
Iteration 2560/10000, Fitting loss:  0.01036 
Iteration 2570/10000, Fitting loss:  0.01109 
Iteration 2580/10000, Fitting loss:  0.01058 
Iteration 2590/10000, Fitting loss:  0.01030 
Iteration 2600/10000, Fitting loss:  0.01054 
Iteration 2610/10000, Fitting loss:  0.01064 
Iteration 2620/10000, Fitting loss:  0.01069 
Iteration 2630/10000, Fitting loss:  0.01039 
Iteration 2640/10000, Fitting loss:  0.01066 
Iteration 2650/10000, Fitting loss:  0.01063 
Iteration 2660/10000, Fitting loss:  0.01025 
Iteration 2670/10000, Fitting loss:  0.01041 
Iteration 2680/10000, Fitting loss:  0.01028 
Iteration 2690/10000, Fitting loss:  0.01057 
Iteration 2700/10000, Fitting loss:  0.01050 
Iteration 2710/10000, Fitting loss:  0.01049 
Iteration 2720/10000, Fitting loss:  0.01032 
Iteration 2730/10000, Fitting loss:  0.01021 
