[W C:\cb\pytorch_1000000000000\work\torch\csrc\profiler\kineto_shim.cpp:330] Profiler is not initialized: skipping step() invocation
STAGE:2022-11-08 12:34:48 4764:1840 C:\cb\pytorch_1000000000000\work\third_party\kineto\libkineto\src\ActivityProfilerController.cpp:294] Completed Stage: Warm Up
STAGE:2022-11-08 12:34:48 4764:1840 C:\cb\pytorch_1000000000000\work\third_party\kineto\libkineto\src\ActivityProfilerController.cpp:300] Completed Stage: Collection
STAGE:2022-11-08 12:34:48 4764:1840 C:\cb\pytorch_1000000000000\work\third_party\kineto\libkineto\src\output_json.cpp:417] Completed Stage: Post Processing
Initializing dataset - reading D:\GitHub\DistributedINR\Code\Datasets\..\..\Data\Isotropic.nc
Feature grid shape: [1, 16, 64, 64, 64]
Training on cuda:0 D:\GitHub\DistributedINR\Code\..\SavedModels\Isotropic_octant1_64featgrid_4layers32nodes
Iteration 0/10000, Fitting loss:  0.18365 
Iteration 10/10000, Fitting loss:  0.08587 
Iteration 20/10000, Fitting loss:  0.07996 
Iteration 30/10000, Fitting loss:  0.07473 
Iteration 40/10000, Fitting loss:  0.06803 
Iteration 50/10000, Fitting loss:  0.05971 
Iteration 60/10000, Fitting loss:  0.05063 
Iteration 70/10000, Fitting loss:  0.04281 
Iteration 80/10000, Fitting loss:  0.03766 
Iteration 90/10000, Fitting loss:  0.03438 
Iteration 100/10000, Fitting loss:  0.03133 
Iteration 110/10000, Fitting loss:  0.02983 
Iteration 120/10000, Fitting loss:  0.02776 
Iteration 130/10000, Fitting loss:  0.02713 
Iteration 140/10000, Fitting loss:  0.02661 
Iteration 150/10000, Fitting loss:  0.02634 
Iteration 160/10000, Fitting loss:  0.02434 
Iteration 170/10000, Fitting loss:  0.02389 
Iteration 180/10000, Fitting loss:  0.02292 
Iteration 190/10000, Fitting loss:  0.02259 
Iteration 200/10000, Fitting loss:  0.02207 
Iteration 210/10000, Fitting loss:  0.02246 
Iteration 220/10000, Fitting loss:  0.02219 
Iteration 230/10000, Fitting loss:  0.02145 
Iteration 240/10000, Fitting loss:  0.02128 
Iteration 250/10000, Fitting loss:  0.02089 
Iteration 260/10000, Fitting loss:  0.02093 
Iteration 270/10000, Fitting loss:  0.02085 
Iteration 280/10000, Fitting loss:  0.02046 
Iteration 290/10000, Fitting loss:  0.02023 
Iteration 300/10000, Fitting loss:  0.02051 
Iteration 310/10000, Fitting loss:  0.01997 
Iteration 320/10000, Fitting loss:  0.01961 
Iteration 330/10000, Fitting loss:  0.01968 
Iteration 340/10000, Fitting loss:  0.01945 
Iteration 350/10000, Fitting loss:  0.01990 
Iteration 360/10000, Fitting loss:  0.01953 
Iteration 370/10000, Fitting loss:  0.01969 
Iteration 380/10000, Fitting loss:  0.01904 
Iteration 390/10000, Fitting loss:  0.01913 
Iteration 400/10000, Fitting loss:  0.01920 
Iteration 410/10000, Fitting loss:  0.01903 
Iteration 420/10000, Fitting loss:  0.01881 
Iteration 430/10000, Fitting loss:  0.01903 
Iteration 440/10000, Fitting loss:  0.01858 
Iteration 450/10000, Fitting loss:  0.01907 
Iteration 460/10000, Fitting loss:  0.01893 
Iteration 470/10000, Fitting loss:  0.01862 
Iteration 480/10000, Fitting loss:  0.02015 
Iteration 490/10000, Fitting loss:  0.01871 
Iteration 500/10000, Fitting loss:  0.01826 
Iteration 510/10000, Fitting loss:  0.01811 
Iteration 520/10000, Fitting loss:  0.01850 
Iteration 530/10000, Fitting loss:  0.01814 
Iteration 540/10000, Fitting loss:  0.01823 
Iteration 550/10000, Fitting loss:  0.01804 
Iteration 560/10000, Fitting loss:  0.01807 
Iteration 570/10000, Fitting loss:  0.01878 
Iteration 580/10000, Fitting loss:  0.01782 
Iteration 590/10000, Fitting loss:  0.01800 
Iteration 600/10000, Fitting loss:  0.01782 
Iteration 610/10000, Fitting loss:  0.01816 
Iteration 620/10000, Fitting loss:  0.01789 
Iteration 630/10000, Fitting loss:  0.01760 
Iteration 640/10000, Fitting loss:  0.01752 
Iteration 650/10000, Fitting loss:  0.01753 
Iteration 660/10000, Fitting loss:  0.01728 
Iteration 670/10000, Fitting loss:  0.01733 
Iteration 680/10000, Fitting loss:  0.01742 
Iteration 690/10000, Fitting loss:  0.01723 
Iteration 700/10000, Fitting loss:  0.01773 
Iteration 710/10000, Fitting loss:  0.01769 
Iteration 720/10000, Fitting loss:  0.01739 
Iteration 730/10000, Fitting loss:  0.01728 
Iteration 740/10000, Fitting loss:  0.01728 
Iteration 750/10000, Fitting loss:  0.01695 
Iteration 760/10000, Fitting loss:  0.01678 
Iteration 770/10000, Fitting loss:  0.01750 
Iteration 780/10000, Fitting loss:  0.01711 
Iteration 790/10000, Fitting loss:  0.01705 
Iteration 800/10000, Fitting loss:  0.01692 
Iteration 810/10000, Fitting loss:  0.01715 
Iteration 820/10000, Fitting loss:  0.01670 
Iteration 830/10000, Fitting loss:  0.01696 
Iteration 840/10000, Fitting loss:  0.01718 
Iteration 850/10000, Fitting loss:  0.01676 
Iteration 860/10000, Fitting loss:  0.01679 
Iteration 870/10000, Fitting loss:  0.01637 
Iteration 880/10000, Fitting loss:  0.01762 
Iteration 890/10000, Fitting loss:  0.01631 
Iteration 900/10000, Fitting loss:  0.01634 
Iteration 910/10000, Fitting loss:  0.01634 
Iteration 920/10000, Fitting loss:  0.01614 
Iteration 930/10000, Fitting loss:  0.01605 
Iteration 940/10000, Fitting loss:  0.01652 
Iteration 950/10000, Fitting loss:  0.01600 
Iteration 960/10000, Fitting loss:  0.01689 
Iteration 970/10000, Fitting loss:  0.01595 
Iteration 980/10000, Fitting loss:  0.01691 
Iteration 990/10000, Fitting loss:  0.01609 
Iteration 1000/10000, Fitting loss:  0.01590 
Iteration 1010/10000, Fitting loss:  0.01652 
Iteration 1020/10000, Fitting loss:  0.01585 
Iteration 1030/10000, Fitting loss:  0.01634 
Iteration 1040/10000, Fitting loss:  0.01596 
Iteration 1050/10000, Fitting loss:  0.01603 
Iteration 1060/10000, Fitting loss:  0.01601 
Iteration 1070/10000, Fitting loss:  0.01609 
Iteration 1080/10000, Fitting loss:  0.01624 
Iteration 1090/10000, Fitting loss:  0.01574 
Iteration 1100/10000, Fitting loss:  0.01593 
Iteration 1110/10000, Fitting loss:  0.01602 
Iteration 1120/10000, Fitting loss:  0.01569 
Iteration 1130/10000, Fitting loss:  0.01551 
Iteration 1140/10000, Fitting loss:  0.01560 
Iteration 1150/10000, Fitting loss:  0.01557 
Iteration 1160/10000, Fitting loss:  0.01548 
Iteration 1170/10000, Fitting loss:  0.01566 
Iteration 1180/10000, Fitting loss:  0.01544 
Iteration 1190/10000, Fitting loss:  0.01571 
Iteration 1200/10000, Fitting loss:  0.01562 
Iteration 1210/10000, Fitting loss:  0.01551 
Iteration 1220/10000, Fitting loss:  0.01533 
Iteration 1230/10000, Fitting loss:  0.01546 
Iteration 1240/10000, Fitting loss:  0.01536 
Iteration 1250/10000, Fitting loss:  0.01525 
Iteration 1260/10000, Fitting loss:  0.01538 
Iteration 1270/10000, Fitting loss:  0.01534 
Iteration 1280/10000, Fitting loss:  0.01553 
Iteration 1290/10000, Fitting loss:  0.01549 
Iteration 1300/10000, Fitting loss:  0.01558 
Iteration 1310/10000, Fitting loss:  0.01487 
Iteration 1320/10000, Fitting loss:  0.01497 
Iteration 1330/10000, Fitting loss:  0.01500 
Iteration 1340/10000, Fitting loss:  0.01509 
