[W C:\cb\pytorch_1000000000000\work\torch\csrc\profiler\kineto_shim.cpp:330] Profiler is not initialized: skipping step() invocation
STAGE:2022-11-08 12:39:05 19480:20504 C:\cb\pytorch_1000000000000\work\third_party\kineto\libkineto\src\ActivityProfilerController.cpp:294] Completed Stage: Warm Up
STAGE:2022-11-08 12:39:05 19480:20504 C:\cb\pytorch_1000000000000\work\third_party\kineto\libkineto\src\ActivityProfilerController.cpp:300] Completed Stage: Collection
STAGE:2022-11-08 12:39:05 19480:20504 C:\cb\pytorch_1000000000000\work\third_party\kineto\libkineto\src\output_json.cpp:417] Completed Stage: Post Processing
Initializing dataset - reading D:\GitHub\DistributedINR\Code\Datasets\..\..\Data\Isotropic.nc
Feature grid shape: [1, 16, 64, 64, 64]
Training on cuda:0 D:\GitHub\DistributedINR\Code\..\SavedModels\Isotropic_octant6_64featgrid_4layers32nodes
Iteration 0/10000, Fitting loss:  0.16772 
Iteration 10/10000, Fitting loss:  0.07031 
Iteration 20/10000, Fitting loss:  0.06214 
Iteration 30/10000, Fitting loss:  0.05550 
Iteration 40/10000, Fitting loss:  0.04854 
Iteration 50/10000, Fitting loss:  0.03952 
Iteration 60/10000, Fitting loss:  0.03460 
Iteration 70/10000, Fitting loss:  0.02949 
Iteration 80/10000, Fitting loss:  0.02753 
Iteration 90/10000, Fitting loss:  0.02436 
Iteration 100/10000, Fitting loss:  0.02285 
Iteration 110/10000, Fitting loss:  0.02150 
Iteration 120/10000, Fitting loss:  0.02029 
Iteration 130/10000, Fitting loss:  0.01978 
Iteration 140/10000, Fitting loss:  0.01972 
Iteration 150/10000, Fitting loss:  0.01915 
Iteration 160/10000, Fitting loss:  0.01902 
Iteration 170/10000, Fitting loss:  0.01851 
Iteration 180/10000, Fitting loss:  0.01772 
Iteration 190/10000, Fitting loss:  0.01731 
Iteration 200/10000, Fitting loss:  0.01700 
Iteration 210/10000, Fitting loss:  0.01678 
Iteration 220/10000, Fitting loss:  0.01683 
Iteration 230/10000, Fitting loss:  0.01672 
Iteration 240/10000, Fitting loss:  0.01620 
Iteration 250/10000, Fitting loss:  0.01621 
Iteration 260/10000, Fitting loss:  0.01624 
Iteration 270/10000, Fitting loss:  0.01554 
Iteration 280/10000, Fitting loss:  0.01606 
Iteration 290/10000, Fitting loss:  0.01590 
Iteration 300/10000, Fitting loss:  0.01581 
Iteration 310/10000, Fitting loss:  0.01571 
Iteration 320/10000, Fitting loss:  0.01617 
Iteration 330/10000, Fitting loss:  0.01515 
Iteration 340/10000, Fitting loss:  0.01623 
Iteration 350/10000, Fitting loss:  0.01512 
Iteration 360/10000, Fitting loss:  0.01544 
Iteration 370/10000, Fitting loss:  0.01533 
Iteration 380/10000, Fitting loss:  0.01447 
Iteration 390/10000, Fitting loss:  0.01488 
Iteration 400/10000, Fitting loss:  0.01480 
Iteration 410/10000, Fitting loss:  0.01475 
Iteration 420/10000, Fitting loss:  0.01493 
Iteration 430/10000, Fitting loss:  0.01507 
Iteration 440/10000, Fitting loss:  0.01478 
Iteration 450/10000, Fitting loss:  0.01450 
Iteration 460/10000, Fitting loss:  0.01435 
Iteration 470/10000, Fitting loss:  0.01451 
Iteration 480/10000, Fitting loss:  0.01547 
Iteration 490/10000, Fitting loss:  0.01450 
Iteration 500/10000, Fitting loss:  0.01456 
Iteration 510/10000, Fitting loss:  0.01492 
Iteration 520/10000, Fitting loss:  0.01467 
Iteration 530/10000, Fitting loss:  0.01473 
Iteration 540/10000, Fitting loss:  0.01423 
Iteration 550/10000, Fitting loss:  0.01452 
Iteration 560/10000, Fitting loss:  0.01497 
Iteration 570/10000, Fitting loss:  0.01430 
Iteration 580/10000, Fitting loss:  0.01389 
Iteration 590/10000, Fitting loss:  0.01395 
Iteration 600/10000, Fitting loss:  0.01428 
Iteration 610/10000, Fitting loss:  0.01437 
Iteration 620/10000, Fitting loss:  0.01372 
Iteration 630/10000, Fitting loss:  0.01343 
Iteration 640/10000, Fitting loss:  0.01360 
Iteration 650/10000, Fitting loss:  0.01365 
Iteration 660/10000, Fitting loss:  0.01358 
Iteration 670/10000, Fitting loss:  0.01342 
Iteration 680/10000, Fitting loss:  0.01362 
Iteration 690/10000, Fitting loss:  0.01344 
Iteration 700/10000, Fitting loss:  0.01364 
Iteration 710/10000, Fitting loss:  0.01329 
Iteration 720/10000, Fitting loss:  0.01339 
Iteration 730/10000, Fitting loss:  0.01359 
Iteration 740/10000, Fitting loss:  0.01336 
Iteration 750/10000, Fitting loss:  0.01334 
