[W C:\cb\pytorch_1000000000000\work\torch\csrc\profiler\kineto_shim.cpp:330] Profiler is not initialized: skipping step() invocation
STAGE:2022-11-08 12:33:07 14896:18776 C:\cb\pytorch_1000000000000\work\third_party\kineto\libkineto\src\ActivityProfilerController.cpp:294] Completed Stage: Warm Up
STAGE:2022-11-08 12:33:07 14896:18776 C:\cb\pytorch_1000000000000\work\third_party\kineto\libkineto\src\ActivityProfilerController.cpp:300] Completed Stage: Collection
STAGE:2022-11-08 12:33:07 14896:18776 C:\cb\pytorch_1000000000000\work\third_party\kineto\libkineto\src\output_json.cpp:417] Completed Stage: Post Processing
Initializing dataset - reading D:\GitHub\DistributedINR\Code\Datasets\..\..\Data\Isotropic.nc
Feature grid shape: [1, 16, 64, 64, 64]
Training on cuda:0 D:\GitHub\DistributedINR\Code\..\SavedModels\Isotropic_full_64featgrid_4layers32nodes
Iteration 1140/10000, Fitting loss:  0.02507 
Iteration 1150/10000, Fitting loss:  0.02471 
Iteration 1160/10000, Fitting loss:  0.02515 
Iteration 1170/10000, Fitting loss:  0.02444 
Iteration 1180/10000, Fitting loss:  0.02462 
Iteration 1190/10000, Fitting loss:  0.02520 
Iteration 1200/10000, Fitting loss:  0.02528 
Iteration 1210/10000, Fitting loss:  0.02535 
Iteration 1220/10000, Fitting loss:  0.02507 
Iteration 1230/10000, Fitting loss:  0.02467 
Iteration 1240/10000, Fitting loss:  0.02465 
Iteration 1250/10000, Fitting loss:  0.02445 
Iteration 1260/10000, Fitting loss:  0.02474 
Iteration 1270/10000, Fitting loss:  0.02455 
Iteration 1280/10000, Fitting loss:  0.02442 
Iteration 1290/10000, Fitting loss:  0.02480 
Iteration 1300/10000, Fitting loss:  0.02451 
Iteration 1310/10000, Fitting loss:  0.02460 
Iteration 1320/10000, Fitting loss:  0.02452 
Iteration 1330/10000, Fitting loss:  0.02471 
Iteration 1340/10000, Fitting loss:  0.02450 
Iteration 1350/10000, Fitting loss:  0.02444 
Iteration 1360/10000, Fitting loss:  0.02484 
Iteration 1370/10000, Fitting loss:  0.02446 
Iteration 1380/10000, Fitting loss:  0.02486 
Iteration 1390/10000, Fitting loss:  0.02460 
Iteration 1400/10000, Fitting loss:  0.02396 
Iteration 1410/10000, Fitting loss:  0.02431 
Iteration 1420/10000, Fitting loss:  0.02427 
Iteration 1430/10000, Fitting loss:  0.02416 
Iteration 1440/10000, Fitting loss:  0.02403 
Iteration 1450/10000, Fitting loss:  0.02425 
Iteration 1460/10000, Fitting loss:  0.02414 
Iteration 1470/10000, Fitting loss:  0.02431 
Iteration 1480/10000, Fitting loss:  0.02458 
Iteration 1490/10000, Fitting loss:  0.02399 
Iteration 1500/10000, Fitting loss:  0.02415 
Iteration 1510/10000, Fitting loss:  0.02445 
Iteration 1520/10000, Fitting loss:  0.02445 
Iteration 1530/10000, Fitting loss:  0.02472 
Iteration 1540/10000, Fitting loss:  0.02412 
Iteration 1550/10000, Fitting loss:  0.02374 
Iteration 1560/10000, Fitting loss:  0.02384 
Iteration 1570/10000, Fitting loss:  0.02361 
Iteration 1580/10000, Fitting loss:  0.02373 
Iteration 1590/10000, Fitting loss:  0.02378 
Iteration 1600/10000, Fitting loss:  0.02425 
Iteration 1610/10000, Fitting loss:  0.02408 
Iteration 1620/10000, Fitting loss:  0.02408 
Iteration 1630/10000, Fitting loss:  0.02377 
Iteration 1640/10000, Fitting loss:  0.02385 
Iteration 1650/10000, Fitting loss:  0.02353 
Iteration 1660/10000, Fitting loss:  0.02358 
Iteration 1670/10000, Fitting loss:  0.02364 
Iteration 1680/10000, Fitting loss:  0.02383 
Iteration 1690/10000, Fitting loss:  0.02377 
Iteration 1700/10000, Fitting loss:  0.02345 
Iteration 1710/10000, Fitting loss:  0.02399 
Iteration 1720/10000, Fitting loss:  0.02362 
Iteration 1730/10000, Fitting loss:  0.02328 
Iteration 1740/10000, Fitting loss:  0.02369 
Iteration 1750/10000, Fitting loss:  0.02361 
Iteration 1760/10000, Fitting loss:  0.02320 
Iteration 1770/10000, Fitting loss:  0.02343 
Iteration 1780/10000, Fitting loss:  0.02297 
Iteration 1790/10000, Fitting loss:  0.02335 
Iteration 1800/10000, Fitting loss:  0.02333 
Iteration 1810/10000, Fitting loss:  0.02342 
Iteration 1820/10000, Fitting loss:  0.02302 
Iteration 1830/10000, Fitting loss:  0.02288 
Iteration 1840/10000, Fitting loss:  0.02296 
Iteration 1850/10000, Fitting loss:  0.02320 
Iteration 1860/10000, Fitting loss:  0.02331 
Iteration 1870/10000, Fitting loss:  0.02334 
Iteration 1880/10000, Fitting loss:  0.02314 
Iteration 1890/10000, Fitting loss:  0.02312 
Iteration 1900/10000, Fitting loss:  0.02284 
Iteration 1910/10000, Fitting loss:  0.02285 
Iteration 1920/10000, Fitting loss:  0.02321 
Iteration 1930/10000, Fitting loss:  0.02267 
Iteration 1940/10000, Fitting loss:  0.02294 
Iteration 1950/10000, Fitting loss:  0.02317 
Iteration 1960/10000, Fitting loss:  0.02327 
Iteration 1970/10000, Fitting loss:  0.02333 
Iteration 1980/10000, Fitting loss:  0.02303 
Iteration 1990/10000, Fitting loss:  0.02330 
Iteration 2000/10000, Fitting loss:  0.02295 
Iteration 2010/10000, Fitting loss:  0.02257 
Iteration 2020/10000, Fitting loss:  0.02303 
Iteration 2030/10000, Fitting loss:  0.02286 
Iteration 2040/10000, Fitting loss:  0.02331 
Iteration 2050/10000, Fitting loss:  0.02265 
Iteration 2060/10000, Fitting loss:  0.02296 
Iteration 2070/10000, Fitting loss:  0.02296 
Iteration 2080/10000, Fitting loss:  0.02219 
Iteration 2090/10000, Fitting loss:  0.02286 
Iteration 2100/10000, Fitting loss:  0.02289 
Iteration 2110/10000, Fitting loss:  0.02245 
Iteration 2120/10000, Fitting loss:  0.02324 
Iteration 2130/10000, Fitting loss:  0.02269 
Iteration 2140/10000, Fitting loss:  0.02279 
Iteration 2150/10000, Fitting loss:  0.02253 
